20518269: |Acc X:-0.22, Acc Y:-0.11, Acc Z:9.19 |Gyr X:0.02, Gyr Y:-0.00, Gyr Z:-0.01 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.10, Pitch:0.88, Yaw:-36.11
20518369: |Acc X:-0.15, Acc Y:-0.19, Acc Z:9.76 |Gyr X:0.01, Gyr Y:0.00, Gyr Z:-0.06 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.11, Pitch:0.89, Yaw:-36.13
20518469: |Acc X:-0.66, Acc Y:0.15, Acc Z:10.07 |Gyr X:0.02, Gyr Y:0.00, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.11, Pitch:0.89, Yaw:-36.14
20518569: |Acc X:0.34, Acc Y:-0.11, Acc Z:9.91 |Gyr X:0.04, Gyr Y:-0.01, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.13, Pitch:0.88, Yaw:-36.15
20518669: |Acc X:0.06, Acc Y:-0.13, Acc Z:9.68 |Gyr X:0.03, Gyr Y:-0.01, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.15, Pitch:0.88, Yaw:-36.17
20518769: |Acc X:-0.34, Acc Y:-0.21, Acc Z:9.47 |Gyr X:0.04, Gyr Y:-0.01, Gyr Z:-0.01 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.17, Pitch:0.87, Yaw:-36.18
20518869: |Acc X:0.56, Acc Y:-0.35, Acc Z:9.12 |Gyr X:0.01, Gyr Y:-0.01, Gyr Z:-0.01 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.18, Pitch:0.86, Yaw:-36.18
20518969: |Acc X:0.22, Acc Y:-0.20, Acc Z:9.63 |Gyr X:0.01, Gyr Y:0.00, Gyr Z:-0.04 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.19, Pitch:0.86, Yaw:-36.20
20519069: |Acc X:-0.20, Acc Y:0.27, Acc Z:9.75 |Gyr X:0.01, Gyr Y:-0.01, Gyr Z:-0.00 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.20, Pitch:0.86, Yaw:-36.21
20519169: |Acc X:0.20, Acc Y:0.18, Acc Z:10.52 |Gyr X:-0.00, Gyr Y:0.01, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.21, Pitch:0.86, Yaw:-36.22
20519269: |Acc X:-0.30, Acc Y:0.65, Acc Z:10.32 |Gyr X:0.02, Gyr Y:0.01, Gyr Z:-0.03 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.22, Pitch:0.87, Yaw:-36.23
